id,time_stamp,category,action,json
2806,1428579168,integrated_logging,rendering_message,"{""message_id"":1,""message_title"":""prefs_prod"",""owner"":""/restapi/v1/user/1/""}"
2807,1428579169,prefs_710,initialize,"{""uid"":""user_1428564769041"",""config"":{""interface"":""H3"",""id"":50,""itemsets"":[[5,9,26],[11,17,36],[57,30,58],[18,20,47]]},""language"":""en-US"",""device"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"",""window_height"":815,""window_width"":1600}"
2808,1428579192,prefs_710,accepting,"{""uid"":""user_1428564769041""}"
2809,1428579202,prefs_710,working,"{""uid"":""user_1428564769041"",""event_queue"":[{""event"":""tab_init"",""config_id"":50,""item"":5,""item_set"":0,""time"":1428564791987},{""event"":""tab_click"",""config_id"":50,""item"":""9"",""item_set"":0,""time"":1428564797472},{""event"":""tab_click"",""config_id"":50,""item"":""26"",""item_set"":0,""time"":1428564797949},{""event"":""next"",""config_id"":50,""item"":""button"",""item_set"":0,""time"":1428564802687}]}"
2810,1428579202,prefs_710,result,"{""uid"":""user_1428564769041"",""ranking"":[""5"",""9"",""26""]}"
2811,1428579209,prefs_710,result,"{""uid"":""user_1428564769041"",""ranking"":[""11"",""17"",""36""]}"
2812,1428579209,prefs_710,working,"{""uid"":""user_1428564769041"",""event_queue"":[{""event"":""tab_init"",""config_id"":50,""item"":11,""item_set"":1,""time"":1428564802714},{""event"":""next"",""config_id"":50,""item"":""button"",""item_set"":1,""time"":1428564809220}]}"
2813,1428579210,prefs_710,working,"{""uid"":""user_1428564769041"",""event_queue"":[{""event"":""tab_init"",""config_id"":50,""item"":57,""item_set"":2,""time"":1428564809251},{""event"":""next"",""config_id"":50,""item"":""button"",""item_set"":2,""time"":1428564810666}]}"
2814,1428579210,prefs_710,result,"{""uid"":""user_1428564769041"",""ranking"":[""57"",""30"",""58""]}"
2815,1428579211,prefs_710,working,"{""uid"":""user_1428564769041"",""event_queue"":[{""event"":""tab_init"",""config_id"":50,""item"":18,""item_set"":3,""time"":1428564810693},{""event"":""next"",""config_id"":50,""item"":""button"",""item_set"":3,""time"":1428564811548}]}"
2816,1428579211,prefs_710,result,"{""uid"":""user_1428564769041"",""ranking"":[""18"",""20"",""47""]}"
2817,1428579211,prefs_710,finish,"{""uid"":""user_1428564769041""}"
2822,1428579788,integrated_logging,rendering_message,"{""message_id"":1,""message_title"":""prefs_prod"",""owner"":""/restapi/v1/user/1/""}"
2823,1428579788,prefs_710,initialize,"{""uid"":""user_1428565388817"",""config"":{""interface"":""H3"",""id"":74,""itemsets"":[[17,5,11],[20,26,9],[47,36,18],[57,58,30]]},""language"":""en-US"",""device"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"",""window_height"":815,""window_width"":1600}"
2824,1428579790,prefs_710,accepting,"{""uid"":""user_1428565388817""}"
2825,1428579791,prefs_710,working,"{""uid"":""user_1428565388817"",""event_queue"":[{""event"":""tab_init"",""config_id"":74,""item"":17,""item_set"":0,""time"":1428565390227},{""event"":""next"",""config_id"":74,""item"":""button"",""item_set"":0,""time"":1428565391813}]}"
2826,1428579791,prefs_710,result,"{""uid"":""user_1428565388817"",""ranking"":[""17"",""5"",""11""]}"
2827,1428579792,prefs_710,working,"{""uid"":""user_1428565388817"",""event_queue"":[{""event"":""tab_init"",""config_id"":74,""item"":20,""item_set"":1,""time"":1428565391842},{""event"":""next"",""config_id"":74,""item"":""button"",""item_set"":1,""time"":1428565392580}]}"
2828,1428579792,prefs_710,result,"{""uid"":""user_1428565388817"",""ranking"":[""20"",""26"",""9""]}"
2829,1428579793,prefs_710,working,"{""uid"":""user_1428565388817"",""event_queue"":[{""event"":""tab_init"",""config_id"":74,""item"":47,""item_set"":2,""time"":1428565392614},{""event"":""next"",""config_id"":74,""item"":""button"",""item_set"":2,""time"":1428565393440}]}"
2830,1428579793,prefs_710,result,"{""uid"":""user_1428565388817"",""ranking"":[""47"",""36"",""18""]}"
2831,1428579794,prefs_710,working,"{""uid"":""user_1428565388817"",""event_queue"":[{""event"":""tab_init"",""config_id"":74,""item"":57,""item_set"":3,""time"":1428565393473},{""event"":""next"",""config_id"":74,""item"":""button"",""item_set"":3,""time"":1428565394493}]}"
2832,1428579794,prefs_710,result,"{""uid"":""user_1428565388817"",""ranking"":[""57"",""58"",""30""]}"
2833,1428579794,prefs_710,finish,"{""uid"":""user_1428565388817""}"
2835,1428579804,integrated_logging,rendering_message,"{""message_id"":1,""message_title"":""prefs_prod"",""owner"":""/restapi/v1/user/1/""}"
2836,1428579804,prefs_710,initialize,"{""uid"":""user_1428565404673"",""config"":{""interface"":""H3"",""id"":102,""itemsets"":[[11,5,58,17],[26,57,9,36]]},""language"":""en-US"",""device"":""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2272.118 Safari/537.36"",""window_height"":815,""window_width"":1600}"
2837,1428579806,prefs_710,accepting,"{""uid"":""user_1428565404673""}"
2838,1428579807,prefs_710,working,"{""uid"":""user_1428565404673"",""event_queue"":[{""event"":""tab_init"",""config_id"":102,""item"":11,""item_set"":0,""time"":1428565406098},{""event"":""next"",""config_id"":102,""item"":""button"",""item_set"":0,""time"":1428565407694}]}"
